id,type,name,category,detail,deadline_type,deadline_days
1,layoff,Review budget,Financial,"Take a first pass at identifying expenses that can be cut or reduced.",notification_date,7
2,layoff,Update professional materials,Career,"Add new roles, skills, accomplishments, education, and certifications to your resume and LinkedIn.",notification_date,14
12,layoff,Review child support / alimony,Financial,"Meet with legal counsel and / or prior partner to discuss any temporary changes to child support / alimony payments needed.",notification_date,7
19,layoff,Review childcare arrangements,Financial,"Evaluate costs and explore alternative options",notification_date,7
21,layoff,Revisit kids' educational plans,Financial,"Reassess savings and financial plans for their education",notification_date,7
23,layoff,Ensure prenatal / adoption coverage,Health,"Review the details of any health insurance plans you're considering to ensure they cover prenatal care or adoption costs",notification_date,7
25,layoff,Explore community support for parents,Health,"Feeling supported is critical right now. Look into local groups or programs for expecting parents.",notification_date,14
26,layoff,"Review Employment Authorization Document (EAD) status",Basics,"Ensure your work authorization is valid and up to date",notification_date,7
27,layoff,Research benefits eligibility,Financial,"Investigate eligibility for unemployment and other assistance",notification_date,7
28,layoff,Consult an immigration attorney,Basics,"Discuss how the job loss might affect your residency status",notification_date,7
31,layoff,Consult an immigration attorney,Basics,"Discuss any potential impacts the job loss may have on your DACA status or immigration process",notification_date,14
32,layoff,Review visa status and options,Basics,"Understand the timeline and requirements for maintaining status",notification_date,7
33,layoff,Seek alternative health insurance,Health,"Research health insurance plans for international students / foreign nationals",notification_date,7
34,layoff,Consult an immigration attorney,Basics,"Discuss visa alternatives or extension possibilities",notification_date,14
37,layoff,Explore community resources,Career,"Identify local support services for job seekers",notification_date,14
38,layoff,Update address in HR system,Basics,"Since you recently relocated, ensure HR has your current address",notification_date,1
39,layoff,Contact mortgage lender,Financial,"Discuss possible payment options or forbearance",notification_date,7
42,layoff,Contact financial aid office,Financial,"Explore options for additional aid or payment",notification_date,7
43,layoff,"Download employment verificattion & wage statements",Financial,"Financial aid documentation may require employment verification or wage statements. Make sure to download before access and contacts are limited.",notification_date,1
44,layoff,Reassess enrollment plans,Financial,"Consider part-time or deferring to manage costs",notification_date,7
45,layoff,"Explore scholarships/grants",Financial,"Search for additional financial support opportunities",notification_date,14
48,layoff,Update legal documents,Basics,"Review and update any legal documents (e.g., will, prenup)",notification_date,14
49,layoff,Explore health insurance options,Health,"Investigate COBRA, ACA marketplace, or Medicaid",notification_date,7
50,layoff,Contact healthcare providers,Health,"Discuss payment plans or financial assistance",notification_date,7
51,layoff,Adjust budget for medical costs,Basics,"Reallocate funds to cover essential health expenses",termination_date,
