id,type,priority,category,text
3,layoff,Medium,Health,"Staying connected with friends, family, or support groups. and avoiding the temptation to isolate can help you maintain your mental and emotional well-being."
4,layoff,Medium,Basics,"Talking candidly about your current situation with your spouse / significant other can help broaden your perspective when deciding what life adjustments are needed."
6,layoff,Medium,Health,"Setting regular check-ins to share your feelings, discuss progress, and explore options with a spouse, partner, other family member, or close friend can ensure you're getting the emotional support you need."
8,layoff,Medium,Basics,"If you live with other adults, starting open communication with them now can help you get a handle on how your job loss might affect your current living arrangement, especially if you have some financial dependence on them."
9,layoff,Medium,Health,"You may be able to make use of your partner’s benefits. Look into any services and coverage available to you through your partner’s health insurance for practical peace of mind."
10,layoff,Medium,Financial,"Taking time to reassess any post-divorce finances (e.g., budget, lump-sum payments, or debt repayment) may show you qualify to negotiate a temporary, more affordable structured payment plan."
11,layoff,High,Financial,"If you pay child support or alimony you may be able to negotiate a temporary, more affordable payment so you can fulfill your obligations and maintain entitlements."
13,layoff,Medium,Financial,"This may be a good time to review any pending divorce agreements before you finalize to ensure settlement and division of assets are still fair considering your loss of steady income."
17,layoff,Medium,Health,"Prioritizing your emotional support is critical since the death of someone close plus your job loss constitute a dual impact of loss. Welcome the kindness of friends, family, and a counselor or therapist."
18,layoff,Medium,Career,"If you'd been working in your role out of necessity when you became widowed, it's worth taking time to consider if you want a new career skill or path."
20,layoff,Medium,Basics,"Maintaining a stable routine for young children is essential. Consider how to keep their daily life consistent despite changes at home."
21,layoff,Medium,Basics,"Kids might not fully understand your job loss, but they can sense stress. Be mindful of how you communicate changes to them and ensure they feel secure."
23,layoff,Medium,Financial,"Teenagers can understand job loss more fully and might have concerns about how it affects them. Have open and honest conversations about the family’s new financial reality."
25,layoff,High,Health,"If you opt to switch your insurance plan from COBRA to another alternative (exchange or your partner's insurance), your preferred providers/hospital may not be covered. Check before finalizing any new coverage outside of COBRA."
27,layoff,Medium,Health,"The stress of a job loss and the unknowns of a new baby can be overwhelming. With emotional support from your partner or loved ones, you can focus on the positive aspects of welcoming a new child."
28,layoff,Medium,Basics,"Checking whether your employment authorization document (EAD) is up to date is a good proactive move since a job loss might impact your status if your work permit is tied to your employment."
31,layoff,Medium,Basics,"Protections and rights for DACA recipients, DREAMers, and other people who aren't citizens can be explained by legal advocates in your community."
32,layoff,High,Basics,"Unemployment benefits may vary by state for DACA recipients, DREAMers, and other people who aren't citizens. You may have access to support, such as community organizations or nonprofits that assist mixed-status families."
33,layoff,Medium,Basics,"Immigration status concerns during a job loss can be especially stressful. Trusted community groups and mental health professionals who understand your situation can offer support and guidance."
34,layoff,Medium,Basics,"If your employment was linked to your visa, you may have a limited time to find a new job to maintain your visa. Consulting with your school can help you understand your options."
35,layoff,High,Health,"Alternatives to employer-provided health insurance are available, including plans for international students and foreign nationals. Consulting with your school can help you understand your options."
36,layoff,Medium,Basics,"To extend your stay legally, you may want to continue your education or return to your home country and apply for a different visa. Consulting with your school can help you understand your options."
37,layoff,Medium,Career,"If you're unfamiliar with the local job market and professional network because of your recent relocation, your local chamber of commerce may be able to help connect you."
39,layoff,Medium,Health,"Joining a local community group to build a support system and access local resources can help you discover new options and manage the stress that comes with adjusting to both a new area and a job loss."
44,layoff,High,Financial,"A job loss doesn't necessarily mean giving up on college goals. Talk to a school counselor about financial aid, scholarships, payment plans, enrolling part-time, or deferring a semester."
50,layoff,Medium,Health,"A recent major change in your partner relationship status combined with a job loss can be emotionally taxing in ways that aren't always evident immediately. Support from trusted friends, family, or a counselor can make all the difference."
52,layoff,Medium,Health,"After employer-provided healthcare ends, there are other insurance options, like COBRA, that ensure continuous coverage."
53,layoff,Medium,Finance,"To help manage ongoing medical expenses, some healthcare providers will negotiate a payment plan. You can reach out to your patient advocate for more info."
56,layoff,High,Health,"The emotional toll and added responsibilities of losing a loved one combined with the stress of a job loss can take a toll in ways that aren't immediately evident. Stay open to support from trusted friends, family, counselors, and community support groups to help you take time and space to heal."
60,layoff,Medium,Financial,"If your ability to contribute to elder care is affected by your job loss, you may qualify for financial aid or assistance programs."
62,layoff,Medium,Financial,"With less than 30 days at the company, you may not be eligible for severance or unemployment benefits, but you may have other support options and rights."
